id,module,use_case,prompt_title,prompt_text,expected_output_format,difficulty,customization_notes
P165,M6_Video_Scripts,content,"Behind-the-Scenes Script","Write a 90-second behind-the-scenes video script showing ""How I Built My Portfolio Website in a Weekend."" Structure: Opening hook â€” the finished product reveal (5 sec), Rewind to Day 1 â€” planning and wireframes (20 sec), Day 1 coding montage with voiceover tips (25 sec), Day 2 â€” design and deployment (25 sec), Problems I faced and how I fixed them (10 sec), Final reveal again with features walkthrough (10 sec). Add [TIME-LAPSE], [SCREEN RECORDING], and [TALKING HEAD] cues.",BTS script,medium,"Change the project. Adjust the timeline and production cues."
P166,M6_Video_Scripts,video,"Challenge Video Script","Write a script for a ""Can AI Build a Full App in 30 Minutes?"" challenge video. Duration: 2 minutes (highlights from the 30-min session). Structure: Challenge statement and rules (15 sec), Timer starts â€” Phase 1: AI generates the spec (20 sec), Phase 2: AI writes the code (30 sec), Phase 3: Testing and fixing bugs (25 sec), Timer ends â€” results reveal (15 sec), My honest review and score out of 10 (10 sec), CTA (5 sec). Write voiceover text. Mark [TIMER OVERLAY], [SCREEN RECORDING], [FACE CAM] cues.",challenge script,medium,"Change the challenge task and time limit. Adjust phases."
P167,M6_Video_Scripts,content,"Comparison Review Script","Write a script for a VS comparison video: ""GitHub Copilot vs ChatGPT for Coding â€” Which Is Better?"" Duration: 2 minutes. Structure: Hook with a bold opinion (5 sec), Brief intro of both tools (15 sec), Round 1: Code generation (20 sec), Round 2: Debugging (20 sec), Round 3: Code explanation (20 sec), Round 4: Learning new concepts (20 sec), Scorecard reveal (10 sec), Final verdict (10 sec). For each round, describe the [SPLIT SCREEN] demo.",comparison script,medium,"Replace the two tools. Adjust the comparison rounds and criteria."
P168,M6_Video_Scripts,video,"Story-Driven Brand Video","Write a 60-second story-driven video script for a coding bootcamp targeted at college students. Structure: Open with a relatable struggle scene (10 sec â€” student frustrated with job rejections), Turning point â€” discovering the bootcamp (10 sec), Montage of learning moments (15 sec â€” classes, projects, community), Achievement moment â€” getting the offer letter (10 sec), Testimonial line from the student (10 sec), Brand message and CTA (5 sec). Write voiceover/dialogue. Add [EMOTION] tags and [MUSIC MOOD] for each segment.",brand story script,medium,"Change the brand or product. Adjust the story arc and emotional beats."
P169,M6_Video_Scripts,content,"Launch Announcement Script","Write a 30-second launch announcement video script for a new mobile app that helps students track their placement preparation progress. Structure: Problem statement hook (7 sec), App name reveal with logo animation (3 sec), 3 key features â€” quick visual demos (12 sec â€” 4 sec each), Social proof line (3 sec), Download CTA (5 sec). Write punchy, fast-paced voiceover. Each sentence should be under 10 words. Add [MOTION GRAPHICS] cues.",launch script,easy,"Change the product. Adjust features and pacing for different durations."
P170,M6_Video_Scripts,video,"Motivational Short Script","Write a 30-second motivational Reel/Short script for students preparing for placement season. Structure: Open with a tough question or fear (5 sec), Acknowledge the struggle honestly (8 sec), Pivot to practical advice â€” one specific action they can take today (10 sec), Powerful closing line (5 sec), Text on screen CTA (2 sec). Tone: real, no toxic positivity. Write voiceover text. Add [TEXT ON SCREEN] and [MUSIC: building/inspirational] cues.",short-form script,easy,"Change the audience and topic. Keep the emotional arc: fear to empathy to action."
P171,M7_Coding_With_AI,coding,"REST API Design Prompt","Design a REST API for a college library management system. Provide: 1. Resource list (at least 5 resources: books, members, loans, reservations, fines), 2. For each resource: endpoints (GET, POST, PUT, DELETE) with URL paths, 3. Request/response JSON examples for each endpoint, 4. Status codes for success and error cases, 5. Authentication approach (briefly). Format as structured API documentation. Keep each endpoint description to 2-3 lines max.",API documentation,medium,"Change the system domain. Adjust the number of resources and level of detail."
P172,M7_Coding_With_AI,coding,"Database Schema Design","Design a normalized database schema for an online exam platform. Requirements: Students can register and enroll in courses. Teachers create exams with multiple-choice questions. Students take exams and get scores. Provide: 1. ER diagram description (entities and relationships in text), 2. SQL CREATE TABLE statements for at least 6 tables, 3. Primary keys, foreign keys, and indexes, 4. 3 sample INSERT statements per table, 5. 2 useful JOIN queries with explanations.",SQL schema + queries,medium,"Change the platform type. Adjust the number of tables and query complexity."
P173,M7_Coding_With_AI,coding,"Error Handling Strategy","I am building a Node.js Express API. Design a comprehensive error handling strategy. Provide: 1. A custom error class hierarchy (AppError, ValidationError, AuthError, NotFoundError) with code. 2. A global error handling middleware. 3. How to handle async errors without try-catch in every route. 4. Error response format (consistent JSON structure). 5. Example of using this system in a sample route. Show complete, working code for each part.",code + architecture,medium,"Change the framework (Flask, Spring Boot, etc.). Adjust the error class hierarchy."
P174,M7_Coding_With_AI,coding,"Code Review Prompt","Review the following code as a senior developer. For each issue found, provide: 1. Line or section reference, 2. Issue type: [BUG], [PERFORMANCE], [SECURITY], [STYLE], [LOGIC], 3. Severity: Critical / Major / Minor, 4. What is wrong (1 sentence), 5. How to fix it (show corrected code). After the review, give an overall code quality score out of 10 and list the top 3 improvements that would have the biggest impact. Code to review: [PASTE YOUR CODE HERE]",code review report,medium,"Paste any code you want reviewed. Adjust issue types and severity levels."
P175,M7_Coding_With_AI,coding,"Auto-Documentation Generator","Generate comprehensive documentation for the following code. Include: 1. Module overview (2-3 sentences: what it does, why it exists), 2. Function-by-function documentation with: name, parameters (with types), return value, description, example usage, 3. Dependencies list, 4. Usage example showing how to import and use the module, 5. Edge cases or limitations section. Format as clean Markdown. Code: [PASTE YOUR CODE HERE]",markdown documentation,easy,"Paste any code file. Adjust documentation sections based on your project standards."
P176,M7_Coding_With_AI,coding,"Testing Strategy Planner","I have a Python function that processes user registration: validates email, checks password strength, creates user in database, and sends a welcome email. Plan a complete testing strategy. Provide: 1. Unit tests â€” list every test case with description and expected result (at least 8 tests), 2. Integration tests â€” 3 test scenarios, 3. Edge case tests â€” 5 edge cases, 4. Mock strategy â€” what to mock and why, 5. Write the actual pytest code for all unit tests.",test plan + code,medium,"Replace with your function description. Adjust the number of tests per category."
P177,M7_Coding_With_AI,coding,"Performance Optimization Audit","Analyze the following code for performance issues. For each issue: 1. Describe the bottleneck, 2. Explain why it is slow (with Big O analysis if applicable), 3. Show the optimized version, 4. Estimate the performance improvement. After individual fixes, provide an overall optimization summary with before/after complexity comparison. If the code is already optimal, explain why. Code: [PASTE YOUR CODE HERE]",optimization report + code,medium,"Paste any code you want optimized. Works for any language."
P178,M7_Coding_With_AI,coding,"Security Vulnerability Scan","Act as a security auditor. Review the following web application code for security vulnerabilities. Check for: 1. SQL Injection, 2. XSS (Cross-Site Scripting), 3. CSRF, 4. Insecure authentication, 5. Sensitive data exposure, 6. Broken access control. For each vulnerability found: describe it, show the vulnerable line, explain the attack vector in 1 sentence, show the fixed code. Rate the overall security: Critical Risk / High Risk / Medium Risk / Low Risk. Code: [PASTE YOUR CODE HERE]",security audit report,medium,"Paste any web app code. Adjust the vulnerability checklist for your stack."
P179,M7_Coding_With_AI,coding,"CI/CD Pipeline Configuration","Generate a complete GitHub Actions CI/CD pipeline for a Node.js web application. Requirements: 1. Trigger on push to main and pull requests. 2. Jobs: lint, test, build, deploy to staging (on PR merge), deploy to production (on tag). 3. Use caching for node_modules. 4. Include environment variables and secrets placeholders. 5. Add status badges. Provide the complete .github/workflows/ci.yml file with comments explaining each section.",YAML config,medium,"Change the language or framework. Adjust pipeline stages for your project needs."
P180,M7_Coding_With_AI,coding,"Microservices Architecture Design","Design a microservices architecture for a food delivery app like Swiggy. Provide: 1. Service decomposition â€” list each microservice with its responsibility (at least 6 services), 2. Communication patterns â€” which services talk to which and how (REST, gRPC, message queue), 3. Database strategy â€” separate DB per service or shared, 4. A simple architecture diagram in text/ASCII format, 5. How to handle failures (circuit breaker, retry). Keep each section concise â€” max 5 sentences per service.",architecture document,medium,"Change the app domain. Adjust the number of services and communication patterns."
P181,M7_Coding_With_AI,coding,"React Component Builder","Build a complete, reusable React component: a SearchableDropdown. Requirements: 1. Props: options (array of {label, value}), placeholder, onSelect callback, disabled state. 2. Features: type to filter options, keyboard navigation (arrow keys + enter), click outside to close. 3. Styling: use CSS modules or styled-components, support light/dark theme via prop. 4. Accessibility: ARIA labels, screen reader support. 5. Include TypeScript types. Provide the complete component file and a usage example.",React component code,medium,"Change the component type. Adjust features and accessibility requirements."
P182,M7_Coding_With_AI,coding,"Backend Endpoint Generator","Generate a complete CRUD backend for a Notes resource using Express.js and MongoDB. Provide: 1. Mongoose model with schema validation (title: required string, content: string, tags: array, createdAt: auto), 2. Controller with 5 functions: create, getAll (with pagination and search), getById, update, delete, 3. Routes file with proper HTTP methods, 4. Input validation middleware using Joi or express-validator, 5. Error handling for all edge cases. Complete, runnable code for each file.",backend code,medium,"Change the resource and tech stack. Adjust schema fields and validation rules."
P183,M7_Coding_With_AI,coding,"Algorithm Design Helper","I need to solve this problem: Given an array of integers, find two numbers that add up to a target sum. Walk me through the solution process: 1. Understand â€” restate the problem and clarify edge cases. 2. Plan â€” describe 2-3 possible approaches with trade-offs (brute force, optimized). 3. Code â€” implement the optimal solution in Python with comments. 4. Test â€” trace through 3 test cases manually (including an edge case). 5. Analyze â€” state time and space complexity. 6. Optimize â€” is there anything better? If not, explain why this is optimal.",algorithm walkthrough,easy,"Replace with any coding problem. Keep the 6-step problem-solving structure."
P184,M7_Coding_With_AI,coding,"Data Structure Selector","I need to build a feature where users can: 1. Add items to a collection, 2. Remove items by value, 3. Check if an item exists, 4. Get items in sorted order, 5. Find the most frequent item. For each operation, recommend the best data structure in Python and explain why. Then recommend the single best overall data structure that balances all 5 operations. Show a comparison table: Operation, Best Structure, Time Complexity. Finally, implement a Python class wrapping your recommended structure with all 5 operations.",analysis + code,medium,"Change the list of required operations. Adjust for your programming language."
P185,M7_Coding_With_AI,coding,"Deployment Checklist Generator","Generate a complete pre-deployment checklist for pushing a full-stack web app (React + Node.js + PostgreSQL) to production for the first time. Organize into these sections: 1. Code Quality (5 items), 2. Security (5 items), 3. Performance (5 items), 4. Database (4 items), 5. Monitoring and Logging (3 items), 6. Backup and Recovery (3 items), 7. DNS and SSL (3 items). Each item should be a specific, actionable task (not vague). Mark each as [CRITICAL] or [RECOMMENDED].",checklist,easy,"Change the tech stack. Adjust sections and items for your project."
P186,M8_Extraction_Notes_Research,research,"Research Paper Distiller","Distill the following research paper (or abstract) into a structured summary. Format: Title: [paper title], Authors: [if available], Problem Statement: (2 sentences), Methodology: (3 bullet points), Key Findings: (3 bullet points), Limitations: (2 bullet points), Practical Implications: (2 sentences), My Understanding Score: [Rate how well you understood this: High/Medium/Low]. If any section cannot be determined from the text, write ""Not available in provided text."" Paper: [PASTE PAPER OR ABSTRACT]",structured summary,medium,"Paste any research paper or abstract. Adjust sections based on your field."
P187,M8_Extraction_Notes_Research,study,"Meeting Notes Structurer","Convert these raw, messy meeting notes into a clean, structured format. Use this exact template: ## Meeting: [infer topic], Date: [if mentioned, else Not specified], Attendees: [if mentioned, else Not specified], ### Key Decisions (numbered list), ### Action Items (table with columns: Task, Owner, Deadline), ### Open Questions (bullet list), ### Next Steps (numbered list). Rules: If information is not in the notes, mark as ""Not discussed."" Do not invent details. Notes: [PASTE RAW NOTES HERE]",structured meeting notes,easy,"Paste any raw notes. Works for class notes, brainstorm sessions, or call notes too."
P188,M8_Extraction_Notes_Research,research,"Legal Clause Extractor","Extract all important clauses from the following terms of service or agreement. For each clause, provide: Clause Number, Clause Title (your summary name), Original Text (exact quote), Plain English Translation (1 sentence, no legal jargon), Risk Level for the user: [LOW], [MEDIUM], [HIGH]. After listing all clauses, write a 3-sentence summary highlighting the most important things the user should know. Document: [PASTE LEGAL TEXT HERE]",clause extraction table,medium,"Paste any legal document, rental agreement, or terms of service."
P189,M8_Extraction_Notes_Research,research,"Financial Data Parser","Extract all financial figures and metrics from the following text and organize them into a structured table. Table columns: Metric Name, Value, Unit, Time Period, Context (1 sentence explaining what it means). After the table, provide: 1. Top 3 most significant figures and why they matter, 2. Any year-over-year trends you can identify, 3. Missing data points that would be important to know. Text: [PASTE FINANCIAL TEXT OR REPORT]",table + analysis,medium,"Paste any financial report, earnings summary, or business article."
P190,M8_Extraction_Notes_Research,study,"Technical Spec Extractor","Extract the technical specifications from the following product description or documentation. Organize into: ## Core Specs (table: Spec Name, Value, Notes), ## Requirements (bullet list: hardware, software, dependencies), ## Limitations (bullet list: what it cannot do), ## Compatibility (what it works with). Rules: 1. Only include information explicitly stated in the text. 2. If a spec seems implied but not stated, mark it as [Implied â€” verify]. 3. Do not make up specifications. Document: [PASTE TECHNICAL TEXT HERE]",spec sheet,easy,"Paste any product page, documentation, or technical article."
P191,M8_Extraction_Notes_Research,study,"Book Chapter Summarizer","Summarize the following book chapter or long text at 3 levels of detail. Level 1 â€” Tweet (max 280 characters): The core idea in one sentence. Level 2 â€” Executive Summary (exactly 5 bullet points): The key takeaways. Level 3 â€” Detailed Notes (10-15 bullet points grouped by subtopic): Comprehensive notes covering all major points, examples, and arguments. After all 3 levels, add: Key Vocabulary (list important terms with 1-line definitions), Exam Questions (generate 3 potential exam questions from this content). Text: [PASTE CHAPTER TEXT]",multi-level summary,medium,"Paste any long text. Adjust the detail levels and extras as needed."
P192,M8_Extraction_Notes_Research,research,"Podcast Transcript Miner","Extract the key insights from the following podcast transcript. Structure: ## Episode Overview (2 sentences), ## Key Insights (numbered, at least 5, each as: Insight + Speaker + Timestamp if available), ## Quotable Moments (3 best quotes, exact words), ## Action Items for Listener (3 practical takeaways), ## Topics for Further Research (3 topics mentioned that deserve deeper exploration), ## People/Resources Mentioned (list with brief description). Rules: Attribute insights to specific speakers when possible. Transcript: [PASTE TRANSCRIPT]",structured extraction,medium,"Paste any transcript â€” podcast, interview, YouTube video, or lecture."
P193,M8_Extraction_Notes_Research,study,"Comparative Analysis Builder","Create a detailed comparison between [ITEM 1] and [ITEM 2] on the topic of [TOPIC]. Structure: 1. Overview of each (2 sentences each), 2. Comparison Table (at least 7 rows of dimensions, items as columns, add a Winner column per row), 3. Strengths unique to Item 1 (3 bullets), 4. Strengths unique to Item 2 (3 bullets), 5. Common ground (2 bullets), 6. Verdict â€” which to choose and when (3 sentences covering different scenarios). Fill in: Item 1 = [X], Item 2 = [Y], Topic = [Z].",comparison report,medium,"Replace items and topic. Works for technologies, frameworks, theories, or products."
P194,M8_Extraction_Notes_Research,research,"Knowledge Graph Creator","From the following text, extract entities and relationships to build a knowledge graph. Format: ## Entities (table: Entity Name, Type [Person/Concept/Organization/Technology/Event], Description), ## Relationships (table: Entity 1, Relationship, Entity 2, Evidence from text), ## Graph Summary (3 sentences describing the main connections), ## Central Node (which entity has the most connections and why). Rules: Only extract what is explicitly stated. Do not infer relationships not supported by the text. Text: [PASTE TEXT HERE]",knowledge graph tables,medium,"Paste any article, textbook section, or Wikipedia page."
P195,M8_Extraction_Notes_Research,study,"Literature Review Compiler","I will paste abstracts or summaries of 3-5 research papers on the same topic. Compile them into a mini literature review. Structure: ## Research Question (infer the common theme), ## Paper-by-Paper Summary (for each: citation, objective, method, key finding â€” 3 lines max), ## Cross-Paper Comparison Table (columns: Paper, Method, Sample Size, Key Finding, Limitation), ## Agreements (what most papers agree on), ## Contradictions (where they disagree), ## Gaps (what has no one studied yet), ## Suggested Next Steps (2 sentences). Papers: [PASTE ABSTRACTS]",literature review,medium,"Paste 3-5 abstracts on any topic. Adjust the structure for your assignment format."
P196,M9_Reasoning_Math_QA_Interviews,math,"Proof Strategy Planner","I need to prove the following mathematical statement: [PASTE STATEMENT]. Before writing the proof, plan the strategy: 1. Restate the claim in your own words. 2. Identify what type of proof would work best (direct, contradiction, induction, contrapositive) and explain why. 3. List the key definitions and theorems you will use. 4. Write a proof outline (skeleton) with the main logical steps numbered. 5. Now write the full proof. 6. Verify: check if every step follows logically and flag any gaps. Example statement: For all n >= 1, the sum 1 + 2 + ... + n = n(n+1)/2.",proof + strategy,medium,"Replace with any math statement you need to prove. Keep the 6-step strategy structure."
P197,M9_Reasoning_Math_QA_Interviews,math,"Word Problem Solver","Solve the following word problem step by step. Use this exact structure: Step 1 â€” Understand: Restate the problem in simple words. Identify what is given and what is asked. Step 2 â€” Variables: Define variables for unknowns. Step 3 â€” Equations: Set up the mathematical equations. Step 4 â€” Solve: Solve step by step showing every calculation. Step 5 â€” Verify: Plug the answer back into the original problem to check. Step 6 â€” Answer: State the final answer in a complete sentence. Problem: A train leaves Station A at 9:00 AM traveling at 60 km/h. Another train leaves Station B (300 km away) at 10:00 AM traveling toward Station A at 90 km/h. At what time do they meet?",step-by-step solution,easy,"Replace with any word problem. Keep the 6-step solving structure."
P198,M9_Reasoning_Math_QA_Interviews,math,"Probability Reasoning Chain","Solve this probability problem using explicit reasoning chains. For each step: state what you are calculating, write the formula, plug in numbers, show the computation, state the intermediate result. Use this format per step: [Step N] Calculating: ___, Formula: ___, Computation: ___, Result: ___. After all steps, state the final answer and give an intuitive explanation in 1-2 sentences. Problem: A bag has 5 red balls, 3 blue balls, and 2 green balls. You draw 2 balls without replacement. What is the probability that both are red?",chain-of-thought solution,easy,"Replace with any probability problem. Keep the explicit step format."
P199,M9_Reasoning_Math_QA_Interviews,interview,"Logic Puzzle Generator","Generate 3 logic puzzles of increasing difficulty for interview preparation. For each puzzle: 1. The Puzzle (clear problem statement), 2. Difficulty: Easy / Medium / Hard, 3. Hint (one sentence), 4. Step-by-step Solution, 5. Key Insight (the aha moment in one sentence), 6. Similar Interview Questions (name 1-2 companies known to ask this type). Topics to cover: 1 puzzle on pattern recognition, 1 on deductive reasoning, 1 on constraint satisfaction.",puzzles + solutions,medium,"Adjust topics: probability, sequences, lateral thinking, etc. Change difficulty range."
P200,M9_Reasoning_Math_QA_Interviews,math,"Optimization Problem Solver","Solve this optimization problem with full reasoning: A farmer has 200 meters of fencing and wants to enclose the largest rectangular area against a river (no fence needed on the river side). Find the dimensions. Structure: 1. Problem Setup â€” Define the objective function and constraints. 2. Method Selection â€” Which optimization technique to use and why. 3. Solution â€” Show every mathematical step. 4. Verification â€” Prove this is a maximum (second derivative test, boundary check). 5. Interpretation â€” What does the answer mean in real-world terms?",optimization solution,medium,"Replace with any optimization problem. Keep the 5-step solution structure."
P201,M9_Reasoning_Math_QA_Interviews,math,"Combinatorics Practice Set","Generate a set of 5 combinatorics problems for exam preparation, arranged from easy to hard. For each problem: 1. Problem statement (clear and unambiguous), 2. Topic tag: [Permutation], [Combination], [Pigeonhole], [Inclusion-Exclusion], or [Counting Principle], 3. Solution with step-by-step reasoning, 4. Common mistake students make on this type (and how to avoid it). After all 5 problems, provide a 3-row cheat sheet table: When to use Permutation vs Combination vs Counting Principle.",problem set + solutions,medium,"Adjust topics and difficulty range. Change to probability, number theory, etc."
P202,M9_Reasoning_Math_QA_Interviews,interview,"Case Study Analyzer","Analyze the following business or technical case study using structured reasoning. Step 1 â€” Summarize the situation in 3 sentences. Step 2 â€” Identify the core problem or decision to be made. Step 3 â€” List 3 possible approaches with pros and cons for each. Step 4 â€” Recommend one approach with clear justification. Step 5 â€” Identify 2 risks with your recommendation and how to mitigate them. Step 6 â€” Propose success metrics (how would you measure if your solution worked?). Case: [PASTE CASE STUDY OR DESCRIBE THE SCENARIO]",structured analysis,medium,"Paste any case study from consulting prep, MBA coursework, or technical decisions."
P203,M9_Reasoning_Math_QA_Interviews,interview,"Behavioral Interview Coach","Act as a strict but supportive interview coach. I will give you a behavioral interview question. Provide: 1. The question restated, 2. What the interviewer is really testing (2 sentences), 3. A strong STAR-format answer template: Situation (2 sentences), Task (1 sentence), Action (3-4 sentences with specific details), Result (2 sentences with measurable outcome), 4. A weak answer example (what NOT to say â€” 2 sentences), 5. Pro tips for this specific question type (2 bullets). Question: Tell me about a time you failed and what you learned from it.",STAR answer template,easy,"Replace the question. Works for any behavioral or HR interview question."
P204,M9_Reasoning_Math_QA_Interviews,interview,"System Design Walkthrough","Walk me through designing a URL shortener like bit.ly as if I am in a system design interview. Use this structure: 1. Clarifying Questions â€” List 5 questions I should ask the interviewer (with assumed answers). 2. Requirements â€” Functional (5 items) and Non-functional (3 items). 3. Capacity Estimation â€” Back-of-envelope calculations for storage and bandwidth. 4. High-Level Design â€” Describe the architecture with component names and connections. 5. Database Design â€” Key tables/collections with fields. 6. API Design â€” 3-4 main endpoints. 7. Scaling â€” How to handle 10x and 100x growth. 8. Trade-offs â€” 2 key design decisions and why you chose one over the other.",system design document,medium,"Replace the system. Examples: chat app, notification service, Twitter feed, parking lot."
P205,M9_Reasoning_Math_QA_Interviews,interview,"Fermi Estimation Practice","Solve this Fermi estimation problem showing your reasoning at every step. Structure: 1. Restate the question. 2. Break it into smaller, estimable sub-questions (at least 4). 3. For each sub-question, state your assumption and justify it in one sentence. 4. Calculate step by step, showing all multiplication and division. 5. Sanity check â€” does the final number make sense? Compare to a known reference point. 6. State your final estimate as a range (low to high). Problem: How many tennis balls can fit inside a standard classroom?",estimation walkthrough,easy,"Replace with any Fermi question: piano tuners, golf balls, gas stations, etc."
P206,M10_Placement_Toolkit,resume,"Cold Outreach Email","Write a cold email to a hiring manager for a software engineering internship. Structure: Subject Line (specific, compelling), Paragraph 1 (2 sentences: who you are and why you are emailing), Paragraph 2 (3 sentences: your most relevant skill/project and connection to their company), Paragraph 3 (2 sentences: specific ask and gratitude), Sign-off. Constraints: Under 120 words total. No buzzwords like passionate or self-starter. Sound human, not templated. Customize for: Company = [COMPANY_NAME], Role = [ROLE], Your key project = [PROJECT].",email,easy,"Fill in the placeholders. Adjust tone for startup vs corporate. Works for any role."
P207,M10_Placement_Toolkit,interview,"Salary Negotiation Script","Write a salary negotiation script for a fresh graduate who received an offer of 6 LPA for a software developer role but wants to negotiate to 8 LPA. Provide: 1. Research talking points â€” 3 data points to support the higher number (market rate, skills, competing offers). 2. Opening line â€” how to start the conversation. 3. Counter-offer statement â€” the exact words to say. 4. Response to ""This is our final offer"" â€” how to handle pushback. 5. Response to ""We can offer a smaller raise but better benefits"" â€” how to negotiate non-salary perks. 6. Closing line â€” how to end gracefully regardless of outcome. Tone: confident, respectful, professional.",negotiation script,medium,"Change the offer amount, target amount, and role. Adjust for your country and industry."
P208,M10_Placement_Toolkit,interview,"Post-Interview Follow-Up","Write 3 different follow-up emails for after a job interview: Email 1: Same-day thank you (send within 4 hours). Short, warm, references something specific from the conversation. Under 80 words. Email 2: One-week follow-up (if no response). Polite check-in. Reaffirms interest. Adds one new piece of value (article, project update). Under 100 words. Email 3: Final follow-up (2 weeks, no response). Graceful, leaves the door open, not pushy. Under 60 words. For all emails: Professional tone. No desperation. Include subject lines. Customize for: Role = [ROLE], Interviewer = [NAME], Company = [COMPANY].",3 emails,easy,"Fill in placeholders. Adjust timing and tone based on company culture."
P209,M10_Placement_Toolkit,resume,"Portfolio Project Storyteller","Rewrite my project description to impress recruiters and hiring managers. Transform it using this structure: Project Title: [catchy, professional name], One-Line Summary: What it does + impact (under 15 words), Problem: What problem did it solve? (2 sentences), Solution: What I built and how (3 sentences â€” mention tech stack naturally), My Role: What I specifically did (2 sentences â€” use action verbs), Results: Measurable outcomes (2 sentences â€” numbers and metrics), Tech Stack: Listed as tags. My raw project details: [PASTE YOUR PROJECT DESCRIPTION HERE]",portfolio description,easy,"Paste your raw project notes. Works for resume, LinkedIn, or portfolio website."
P210,M10_Placement_Toolkit,resume,"Career Pivot Narrative","Help me write a compelling career pivot story. I am transitioning from [CURRENT FIELD] to [TARGET FIELD]. Structure: 1. The Bridge â€” Connect my current experience to the new field (3 sentences showing transferable skills). 2. The Why â€” A genuine, specific reason for the switch (2 sentences, avoid cliches). 3. The Proof â€” What I have already done to prepare (3 bullet points: courses, projects, certifications). 4. The Value â€” Why hiring me is an advantage, not a risk (2 sentences). 5. The Ask â€” A confident closing statement (1 sentence). Output 3 versions: Resume Summary (3 lines), LinkedIn About (1 paragraph), Interview Answer (spoken style, 30 seconds). Constraints: Avoid cliches. Be specific. Sound confident but not arrogant.",3 format versions,medium,"Fill in current and target fields. List your preparation steps for better results."
